Year,Event ,Involved,Description,More information
1939,World War 2,Allies and Axis ,"World War 2 lasted from 1939 to 1945 where the Axis(Germany Japan and Italy) fought against the Allies (Britain, the U.S, and the Soviet Union among others). The cause of the war was the 1939 Nazi invasion of Poland.",https://www.history.com/topics/world-war-ii/world-war-ii-history
1919,The 19th Amendment ,Government,"The 19th Amendment gave women the right to vote in name, where the right to vote can not be denied on the account of sex however there were still many loopholes to prevent women from voting.","https://www.archives.gov/milestone-documents/19th-amendment#:~:text=Passed%20by%20Congress%20June%204,decades%20of%20agitation%20and%20protest."
1945,Atomic Bomb,United States and Japan ,"Part of the Manhatten Project, atomic bombs were dropped in Hiroshama and Nagasaki marking the end of WW2. ",https://www.history.com/topics/world-war-ii/atomic-bomb-history
1964,Civil Rights Act,Lyndon B Johnson,"This act prohibits discrimination on the basis of race,color,religion, sex or national origin. ",https://www.archives.gov/milestone-documents/civil-rights-act
1914,World War 1,Allies and Central Power ,"World War 1 lasted from 1914 to 1918 between the Allies(Britain, France, Russia, Italy among others) and the Central Powers(Germany, Austria-Hungry, Bulgaria, and the Ottoman Empire). It was caused by the assassination of Archduke Franz Ferdinand of Austria. ",https://www.history.com/topics/world-war-i/world-war-i-history
1969,Moon Landing,Apollo 11,"Neil Armstrong and Edwin ""Buzz"" Aldrin became the first humans on the moon",https://www.nasa.gov/mission_pages/apollo/missions/apollo11.html
1963,Assassination of JFK,JFK and Lee Harvey Oswald,"President JFK was assassinated by Lee Harvey Oswald on November 22,1963 when he was shot as he was riding in a motorcade in downtown Dallas.",https://www.jfklibrary.org/learn/about-jfk/jfk-in-history/november-22-1963-death-of-the-president
1961,Berlin Wall,The Soviets,The Berlin Wall was build by German Democratic Republic to stop people from going to West Berlin and it fall in 1989 where the mark the eventual end to the Cold War. ,https://www.history.com/topics/cold-war/berlin-wall
1929,The Great Depression,Herbert Hoover,The Great Depression was the longest and worst economic downturn in U.S histroy beginning in 1929 and ending in the later 1930s.,https://www.history.com/topics/great-depression/great-depression-history
1991,The Breakup of the Soviet Union,Gorbachev,"While there are alot of factors and reasons that lead to the breakup of the soviet union, one major reason could have been Gorbachev's decision to allow elections with multi-party systems.",https://www.britannica.com/event/the-collapse-of-the-Soviet-Union
1955,The Vietnam War,Lyndon B Johnson,A proxy war fought from 1955 to 1975 between communist North Vietnam and South Vietnam backed by the United States.  ,https://www.history.com/topics/vietnam-war/vietnam-war-history
1950,The Korean War,Dwight D Eisenhower,A proxy war fought from 1950 to 1953 between communist North Korean and capitalist backed South Korea.,https://www.history.com/topics/asian-history/korean-war
1998,The Impeachment of Bill Clinton,Bill Clinton,Bill Cllinton was charged with lying under oath and obstruction of justice. ,https://www.history.com/this-day-in-history/president-clinton-impeached
1972,The Watergate scandal ,Richard Nixon,"The Nixon administration's attempt to cover up it's involvements in the June 17, 1972 burglary of the Democratic National Committee headquarters.",https://www.britannica.com/event/Watergate-Scandal
1906,The Federal Meat Inspection Act,Theodore Roosevelt and Upton Sinclair ,The Federal Meat Inspection Act was a legislation that establishes mandatory inspection of meat products before they can be sold. ,https://www.fsis.usda.gov/policy/food-safety-acts/federal-meat-inspection-act
1908,Ford Model T appeared on the market,Ford Motor Company,The Ford Model T was an influential and affordable mass-produced automoblie that revolutionized transportation and manufacturing through the assembly line. ,https://corporate.ford.com/articles/history/the-model-t.html
1909,NAACP was founded,W.E.B. Du Bois,The National Association for the Advancement of Colored People is a civil rights organization in the United States that works to promote racial equality and fight aginst discrimination through legal education and advocacy efforts.,https://naacp.org/
1912,The sinking of the Titanic,White Star Line,The Titanic was a British luxury passenger ship that sank after hitting an iceberg; killing more than 1500 people.,https://www.nationalgeographic.org/education/titanic/
1911,Triangle Shirtwaist Factory Fire,Max Blanck and Issac Harris,The Triangle Shirtwaist Factory fire was an industrial fire that resulted in the death of 146 workers predominantly young immigrant women; sparked significant reforms in labor.,https://www.history.com/topics/early-20th-century-us/triangle-shirtwaist-fire
1913,Woman Suffrage Procession,Alice Paul,The Women's Suffrage Procession was a historic march in Washington D.C where thousands of suffragettes gathered to advocate for women's right to vote the day before President Wilson's inauguration.,https://www.nps.gov/articles/woman-suffrage-procession1913.htm
1947,The Second Red Scare,Joesph McCarthy,The Second Red Scare was a period of intense anti-communist sentiments characterized by government investigations blacklisting and heightened political repression.,https://ohiohistorycentral.org/w/Second_Red_Scare
1917,The First Red Scare,Mitchell Palmer,The First Red Scare was a period of anti-communist sentiments and fear of radical political ideologies like socialism and anarchism.,"https://www.mass.gov/info-details/sacco-vanzetti-the-red-scare-of-1919-1920#:~:text=During%20the%20Red%20Scare%20of,%2C%20socialist%2C%20or%20anarchist%20ideology."